slug,title,mtime,n_annotations,n_formalized,n_partial,n_not_formalized,formalization_rate,coverage_rate,n_definition,n_proposition,n_theorem,n_example,n_distinct_modules
Algebraic_K-theory,Algebraic K-theory,2026-05-29T01:15:05+00:00,102,1,9,92,0.01,0.098,37,19,36,10,8
Algebraic_geometry,Algebraic geometry,2026-05-29T01:15:06+00:00,68,16,19,33,0.235,0.515,35,17,8,8,15
Algebraic_number,Algebraic number,2026-05-29T01:15:06+00:00,33,19,7,7,0.576,0.788,6,14,2,11,14
Algebraic_number_theory,Algebraic number theory,2026-05-29T01:15:06+00:00,56,32,13,11,0.571,0.804,26,4,17,9,30
Algebraic_topology,Algebraic topology,2026-05-29T01:15:06+00:00,27,11,3,13,0.407,0.519,10,5,10,2,12
Algebraic_variety,Algebraic variety,2026-05-29T01:15:06+00:00,54,6,28,20,0.111,0.63,31,4,3,16,18
Algorithm,Algorithm,2026-05-29T01:15:06+00:00,50,1,7,42,0.02,0.16,35,6,0,9,7
American_Mathematics_Competitions,American Mathematics Competitions,2026-05-29T01:15:06+00:00,7,0,0,7,0.0,0.0,2,0,0,5,0
Analysis_of_algorithms,Analysis of algorithms,2026-05-29T01:15:06+00:00,18,1,5,12,0.056,0.333,8,3,0,7,3
Ancient_Greek_mathematics,Ancient Greek mathematics,2026-05-29T01:15:07+00:00,34,9,6,19,0.265,0.441,14,8,11,1,13
Angle,Angle,2026-05-29T01:15:07+00:00,55,11,15,29,0.2,0.473,41,6,6,2,8
Arithmetic,Arithmetic,2026-05-29T01:15:07+00:00,92,42,11,39,0.457,0.576,54,25,3,10,19
Atiyah-Singer_index_theorem,Atiyah–Singer index theorem,2026-05-29T01:15:07+00:00,38,2,0,36,0.053,0.053,12,8,16,2,2
Axiom,Axiom,2026-05-29T01:15:07+00:00,37,4,5,28,0.108,0.243,13,2,8,14,5
Banach_fixed-point_theorem,Banach fixed-point theorem,2026-05-29T01:15:07+00:00,16,7,2,7,0.438,0.562,2,12,0,2,6
Bayes_theorem,Bayes' theorem,2026-05-29T01:15:07+00:00,29,12,4,13,0.414,0.552,12,6,6,5,4
Bezier_curve,Bézier curve,2026-05-29T01:15:08+00:00,48,3,11,34,0.062,0.292,14,28,0,6,2
Bijection_injection_and_surjection,"Bijection, injection and surjection",2026-05-29T01:15:08+00:00,24,22,1,1,0.917,0.958,8,14,0,2,12
Binary_search_tree,Binary search tree,2026-05-29T01:15:08+00:00,24,0,16,8,0.0,0.667,9,12,0,3,3
Binomial_distribution,Binomial distribution,2026-05-29T01:15:08+00:00,55,7,9,39,0.127,0.291,9,35,7,4,8
Boolean_algebra_structure,Boolean algebra (structure),2026-05-29T01:15:08+00:00,44,25,5,14,0.568,0.682,14,17,4,9,17
Brouwer_fixed-point_theorem,Brouwer fixed-point theorem,2026-05-29T01:15:08+00:00,31,1,1,29,0.032,0.065,4,6,13,8,2
C-algebra,C*-algebra,2026-05-29T01:15:08+00:00,45,17,9,19,0.378,0.578,20,15,5,5,18
Calculus_of_variations,Calculus of variations,2026-05-29T01:15:09+00:00,47,0,11,36,0.0,0.234,23,11,9,4,7
Cantors_diagonal_argument,Cantor's diagonal argument,2026-05-29T01:15:09+00:00,22,9,4,9,0.409,0.591,4,8,9,1,6
Cardinality,Cardinality,2026-05-29T01:15:09+00:00,119,73,18,28,0.613,0.765,48,31,25,15,30
Cardinality_of_the_continuum,Cardinality of the continuum,2026-05-29T01:15:09+00:00,25,14,8,3,0.56,0.88,6,12,5,2,9
Category_mathematics,Category (mathematics),2026-05-29T01:15:09+00:00,57,47,8,2,0.825,0.965,37,5,0,15,36
Cayley-Hamilton_theorem,Cayley–Hamilton theorem,2026-05-29T01:15:10+00:00,42,11,9,22,0.262,0.476,2,28,1,11,9
Center_squeeze,Center squeeze,2026-05-29T01:15:10+00:00,21,0,0,21,0.0,0.0,4,5,1,11,0
Chaos_theory,Chaos theory,2026-05-29T01:15:10+00:00,44,1,7,36,0.023,0.182,19,13,4,8,5
Chern_class,Chern class,2026-05-29T01:15:10+00:00,59,0,3,56,0.0,0.051,19,22,9,9,2
Chinese_remainder_theorem,Chinese remainder theorem,2026-05-29T01:15:10+00:00,30,17,5,8,0.567,0.733,1,11,12,6,8
Classical_mechanics,Classical mechanics,2026-05-29T01:15:10+00:00,32,0,4,28,0.0,0.125,18,7,4,3,4
Combinatorial_design,Combinatorial design,2026-05-29T01:15:11+00:00,55,2,1,52,0.036,0.055,27,14,4,10,1
Complete_metric_space,Complete metric space,2026-05-29T01:15:11+00:00,56,41,2,13,0.732,0.768,16,29,0,11,20
Computable_function,Computable function,2026-05-29T01:15:11+00:00,34,13,8,13,0.382,0.618,19,9,2,4,8
Computational_complexity_theory,Computational complexity theory,2026-05-29T01:15:11+00:00,45,3,12,30,0.067,0.333,26,7,4,8,11
Conjecture,Conjecture,2026-05-29T01:15:12+00:00,33,5,1,27,0.152,0.182,9,4,11,9,4
Continuum_hypothesis,Continuum hypothesis,2026-05-29T01:15:12+00:00,24,6,4,14,0.25,0.417,4,8,12,0,5
Control_theory,Control theory,2026-05-29T01:15:12+00:00,41,0,0,41,0.0,0.0,35,2,1,3,0
Convex_set,Convex set,2026-05-29T01:15:12+00:00,67,36,11,20,0.537,0.701,27,28,4,8,20
Conways_Game_of_Life,Conway's Game of Life,2026-05-29T01:15:12+00:00,52,0,5,47,0.0,0.096,26,10,5,11,3
Cook-Levin_theorem,Cook–Levin theorem,2026-05-29T01:15:12+00:00,16,0,1,15,0.0,0.062,3,7,6,0,1
Countable_set,Countable set,2026-05-29T01:15:12+00:00,39,32,3,4,0.821,0.897,12,6,14,7,14
Coxeter_group,Coxeter group,2026-05-29T01:15:13+00:00,39,7,8,24,0.179,0.385,13,15,4,7,4
Cryptography,Cryptography,2026-05-29T01:15:13+00:00,52,0,0,52,0.0,0.0,35,7,3,7,0
Data_structure,Data structure,2026-05-29T01:15:13+00:00,13,0,2,11,0.0,0.154,2,3,0,8,2
De_Moivres_formula,De Moivre's formula,2026-05-29T01:15:13+00:00,21,7,7,7,0.333,0.667,2,9,7,3,4
Diffeomorphism,Diffeomorphism,2026-05-29T01:15:13+00:00,52,8,9,35,0.154,0.327,13,33,0,6,8
Difference_engine,Difference engine,2026-05-29T01:15:13+00:00,18,5,6,7,0.278,0.611,9,6,1,2,5
Differential_calculus,Differential calculus,2026-05-29T01:15:14+00:00,27,16,2,9,0.593,0.667,7,7,7,6,12
Differential_equation,Differential equation,2026-05-29T01:15:14+00:00,32,1,6,25,0.031,0.219,19,1,2,10,5
Differential_geometry,Differential geometry,2026-05-29T01:15:14+00:00,35,3,5,27,0.086,0.229,23,4,6,2,8
Differential_geometry_of_surfaces,Differential geometry of surfaces,2026-05-29T01:15:14+00:00,133,6,16,111,0.045,0.165,28,53,37,15,13
Dirac_equation,Dirac equation,2026-05-29T01:15:14+00:00,75,1,8,66,0.013,0.12,36,34,1,4,6
Directed_acyclic_graph,Directed acyclic graph,2026-05-29T01:15:14+00:00,52,2,10,40,0.038,0.231,24,15,4,9,9
Discrete_calculus,Discrete calculus,2026-05-29T01:15:15+00:00,60,18,16,26,0.3,0.567,34,15,8,3,15
Discrete_mathematics,Discrete mathematics,2026-05-29T01:15:15+00:00,28,1,8,19,0.036,0.321,21,1,3,3,9
Distribution_mathematical_analysis,Distribution (mathematical analysis),2026-05-29T01:15:15+00:00,75,27,18,30,0.36,0.6,37,19,11,8,15
Dual_space,Dual space,2026-05-29T01:15:15+00:00,66,31,12,23,0.47,0.652,20,34,3,9,16
Elementary_algebra,Elementary algebra,2026-05-29T01:15:15+00:00,55,13,10,32,0.236,0.418,21,13,3,18,10
Elliptic_curve,Elliptic curve,2026-05-29T01:15:15+00:00,84,23,12,49,0.274,0.417,23,39,13,9,10
Elliptic_geometry,Elliptic geometry,2026-05-29T01:15:16+00:00,45,1,7,37,0.022,0.178,22,19,3,1,3
Equality_mathematics,Equality (mathematics),2026-05-29T01:15:16+00:00,62,39,8,15,0.629,0.758,35,17,1,9,15
Erdos_number,Erdős number,2026-05-29T01:15:16+00:00,36,0,7,29,0.0,0.194,11,8,0,17,1
Euclidean_algorithm,Euclidean algorithm,2026-05-29T01:15:16+00:00,96,43,7,46,0.448,0.521,30,36,18,12,20
Euclidean_geometry,Euclidean geometry,2026-05-29T01:15:16+00:00,36,18,5,13,0.5,0.639,15,7,14,0,13
Exponential_function,Exponential function,2026-05-29T01:15:17+00:00,58,29,8,21,0.5,0.638,19,29,5,5,13
Fibred_category,Fibred category,2026-05-29T01:15:17+00:00,44,10,11,23,0.227,0.477,18,11,2,13,10
Fields_Medal,Fields Medal,2026-05-29T01:15:17+00:00,1,0,1,0,0.0,1.0,0,0,1,0,1
First-order_logic,First-order logic,2026-05-29T01:15:18+00:00,95,28,19,48,0.295,0.495,57,25,6,7,9
Fluid_mechanics,Fluid mechanics,2026-05-29T01:15:18+00:00,22,0,0,22,0.0,0.0,15,4,1,2,0
Formula,Formula,2026-05-29T01:15:18+00:00,10,3,1,6,0.3,0.4,6,0,0,4,3
Four_color_theorem,Four color theorem,2026-05-29T01:15:18+00:00,49,2,0,47,0.041,0.041,13,15,16,5,2
Fourier_analysis,Fourier analysis,2026-05-29T01:15:18+00:00,28,11,4,13,0.393,0.536,11,9,6,2,8
Fractal,Fractal,2026-05-29T01:15:18+00:00,32,4,7,21,0.125,0.344,21,6,0,5,5
Functor,Functor,2026-05-29T01:15:18+00:00,33,24,4,5,0.727,0.848,8,4,0,21,16
Game_theory,Game theory,2026-05-29T01:15:19+00:00,61,1,2,58,0.016,0.049,36,10,5,10,2
General_relativity,General relativity,2026-05-29T01:15:19+00:00,62,0,2,60,0.0,0.032,28,21,9,4,2
General_topology,General topology,2026-05-29T01:15:19+00:00,111,90,5,16,0.811,0.856,48,43,6,14,43
Geodesic,Geodesic,2026-05-29T01:15:19+00:00,56,2,6,48,0.036,0.143,19,23,5,9,4
Geometric_group_theory,Geometric group theory,2026-05-29T01:15:19+00:00,30,6,4,20,0.2,0.333,6,0,3,21,10
Geometry,Geometry,2026-05-29T01:15:19+00:00,43,10,14,19,0.233,0.558,32,2,6,3,15
Godels_incompleteness_theorems,Gödel's incompleteness theorems,2026-05-29T01:15:20+00:00,66,3,10,53,0.045,0.197,12,18,15,21,9
Graph_coloring,Graph coloring,2026-05-29T01:15:20+00:00,157,13,8,136,0.083,0.134,66,58,26,7,7
Graph_drawing,Graph drawing,2026-05-29T01:15:20+00:00,38,0,4,34,0.0,0.105,20,3,1,14,4
Graph_minor,Graph minor,2026-05-29T01:15:20+00:00,51,0,8,43,0.0,0.157,14,22,13,2,3
Graph_theory,Graph theory,2026-05-29T01:15:20+00:00,88,12,15,61,0.136,0.307,66,0,19,3,19
Greatest_common_divisor,Greatest common divisor,2026-05-29T01:15:20+00:00,58,33,4,21,0.569,0.638,9,40,4,5,12
Group_action,Group action,2026-05-29T01:15:20+00:00,78,43,18,17,0.551,0.782,36,12,2,28,29
Group_representation,Group representation,2026-05-29T01:15:21+00:00,25,15,3,7,0.6,0.72,16,2,1,6,12
Hausdorff_space,Hausdorff space,2026-05-29T01:15:21+00:00,39,26,8,5,0.667,0.872,4,27,3,5,10
Hilberts_problems,Hilbert's problems,2026-05-29T01:15:21+00:00,14,2,3,9,0.143,0.357,1,3,10,0,5
History_of_algebra,History of algebra,2026-05-29T01:15:21+00:00,56,15,10,31,0.268,0.446,16,18,7,15,18
History_of_geometry,History of geometry,2026-05-29T01:15:21+00:00,26,1,10,15,0.038,0.423,7,11,6,2,7
History_of_mathematical_notation,History of mathematical notation,2026-05-29T01:15:21+00:00,47,6,7,34,0.128,0.277,31,2,4,10,13
History_of_mathematics,History of mathematics,2026-05-29T01:15:21+00:00,111,39,28,44,0.351,0.604,35,12,51,13,44
History_of_the_function_concept,History of the function concept,2026-05-29T01:15:22+00:00,49,8,18,23,0.163,0.531,38,1,3,7,14
Holonomy,Holonomy,2026-05-29T01:15:22+00:00,37,0,2,35,0.0,0.054,11,16,10,0,1
Hom_functor,Hom functor,2026-05-29T01:15:22+00:00,20,17,1,2,0.85,0.9,12,7,1,0,8
Homological_algebra,Homological algebra,2026-05-29T01:15:22+00:00,26,21,5,0,0.808,1.0,18,4,3,1,16
Homomorphism,Homomorphism,2026-05-29T01:15:22+00:00,58,38,12,8,0.655,0.862,29,17,2,10,26
Hyperbola,Hyperbola,2026-05-29T01:15:22+00:00,92,0,4,88,0.0,0.043,27,50,5,10,3
Indian_mathematics,Indian mathematics,2026-05-29T01:15:22+00:00,58,27,8,23,0.466,0.603,9,33,12,4,24
Information_theory,Information theory,2026-05-29T01:15:22+00:00,33,4,6,23,0.121,0.303,12,17,1,3,4
Integer,Integer,2026-05-29T01:15:23+00:00,48,25,7,16,0.521,0.667,14,26,5,3,21
Interpolation,Interpolation,2026-05-29T01:15:23+00:00,35,4,5,26,0.114,0.257,23,3,4,5,4
Introduction_to_gauge_theory,Introduction to gauge theory,2026-05-29T01:15:23+00:00,30,4,0,26,0.133,0.133,12,10,0,8,3
Introduction_to_general_relativity,Introduction to general relativity,2026-05-29T01:15:23+00:00,36,0,1,35,0.0,0.028,14,13,3,6,1
Jordan_normal_form,Jordan normal form,2026-05-29T01:15:23+00:00,60,10,14,36,0.167,0.4,20,23,12,5,14
Kerala_school_of_astronomy_and_mathematics,Kerala school of astronomy and mathematics,2026-05-29T01:15:23+00:00,9,5,2,2,0.556,0.778,0,5,2,2,6
Kinematics,Kinematics,2026-05-29T01:15:23+00:00,71,2,14,55,0.028,0.225,43,23,0,5,7
Kinetic_energy,Kinetic energy,2026-05-29T01:15:24+00:00,33,0,0,33,0.0,0.0,13,16,2,2,0
Knot_theory,Knot theory,2026-05-29T01:15:24+00:00,53,0,4,49,0.0,0.075,30,16,5,2,2
Krull_dimension,Krull dimension,2026-05-29T01:15:24+00:00,43,21,7,15,0.488,0.651,12,21,1,9,14
Lambert_W_function,Lambert W function,2026-05-29T01:15:24+00:00,73,0,0,73,0.0,0.0,4,54,3,12,0
Laplace_transform,Laplace transform,2026-05-29T01:15:24+00:00,54,1,22,31,0.019,0.426,12,20,11,11,8
Least_squares,Least squares,2026-05-29T01:15:24+00:00,29,0,5,24,0.0,0.172,12,14,1,2,3
Linear_equation,Linear equation,2026-05-29T01:15:25+00:00,25,1,16,8,0.04,0.68,11,14,0,0,5
Linear_programming,Linear programming,2026-05-29T01:15:25+00:00,49,1,5,43,0.02,0.122,18,23,4,4,5
Linear_regression,Linear regression,2026-05-29T01:15:25+00:00,44,0,3,41,0.0,0.068,33,7,1,3,2
Logic,Logic,2026-05-29T01:15:25+00:00,88,3,20,65,0.034,0.261,62,6,0,20,8
Margin_of_error,Margin of error,2026-05-29T01:15:25+00:00,23,0,4,19,0.0,0.174,6,12,1,4,3
Mathematical_logic,Mathematical logic,2026-05-29T01:15:26+00:00,83,15,14,54,0.181,0.349,31,7,35,10,20
Mathematical_optimization,Mathematical optimization,2026-05-29T01:15:26+00:00,59,9,11,39,0.153,0.339,41,8,5,5,10
Mathematical_physics,Mathematical physics,2026-05-29T01:15:26+00:00,22,6,1,15,0.273,0.318,13,2,7,0,7
Mathematician,Mathematician,2026-05-29T01:15:26+00:00,3,0,0,3,0.0,0.0,3,0,0,0,0
Mathematics,Mathematics,2026-05-29T01:15:26+00:00,46,6,17,23,0.13,0.5,35,2,6,3,22
Maximum_likelihood_estimation,Maximum likelihood estimation,2026-05-29T01:15:26+00:00,65,1,15,49,0.015,0.246,25,27,5,8,13
Maxwells_equations,Maxwell's equations,2026-05-29T01:15:26+00:00,61,2,5,54,0.033,0.115,28,22,4,7,4
Mean,Mean,2026-05-29T01:15:26+00:00,25,6,8,11,0.24,0.56,19,1,0,5,5
Median,Median,2026-05-29T01:15:27+00:00,68,1,6,61,0.015,0.103,26,22,10,10,7
Minkowski_space,Minkowski space,2026-05-29T01:15:27+00:00,74,3,25,46,0.041,0.378,49,18,3,4,11
Mobius_strip,Möbius strip,2026-05-29T01:15:27+00:00,66,0,2,64,0.0,0.03,15,25,20,6,2
Model_theory,Model theory,2026-05-29T01:15:27+00:00,112,32,21,59,0.286,0.473,46,25,22,19,18
Module_mathematics,Module (mathematics),2026-05-29T01:15:27+00:00,48,35,6,7,0.729,0.854,32,4,0,12,32
Monte_Carlo_method,Monte Carlo method,2026-05-29T01:15:27+00:00,19,1,4,14,0.053,0.263,11,4,1,3,5
Nash_equilibrium,Nash equilibrium,2026-05-29T01:15:27+00:00,56,0,1,55,0.0,0.018,17,13,13,13,1
Navier-Stokes_equations,Navier–Stokes equations,2026-05-29T01:15:28+00:00,73,0,1,72,0.0,0.014,28,29,2,14,1
