Affine.Simplex.excenter	NeZero
Affine.Simplex.excenter	Affine.Simplex
Affine.Simplex.excenter	Real.normedField
Affine.Simplex.excenter	Affine.Simplex.exsphere
Affine.Simplex.exsphere	NormedAddCommGroup
Affine.Simplex.exsphere	InnerProductSpace
Affine.Simplex.exsphere	Real
Affine.Simplex.exsphere	MetricSpace
Affine.Simplex.exsphere	NormedAddTorsor
Affine.Simplex.exsphere	Nat
Affine.Simplex.exsphere	NeZero
Affine.Simplex.exsphere	Affine.Simplex
Affine.Simplex.exsphere	Real.normedField
Affine.Simplex.exsphere	EuclideanGeometry.Sphere
Affine.Simplex.exsphere	AffineMap
Affine.Simplex.exsphere	Finset.sum
Affine.Simplex.face	Ring
Affine.Simplex.face	AddCommGroup
Affine.Simplex.face	Module
Affine.Simplex.face	AddTorsor
Affine.Simplex.face	Nat
Affine.Simplex.face	Affine.Simplex
Affine.Simplex.height	NormedAddCommGroup
Affine.Simplex.height	InnerProductSpace
Affine.Simplex.height	Real
Affine.Simplex.height	MetricSpace
Affine.Simplex.height	NormedAddTorsor
Affine.Simplex.height	Nat
Affine.Simplex.height	NeZero
Affine.Simplex.height	Affine.Simplex
Affine.Simplex.height	Real.normedField
Affine.Simplex.height	Affine.Simplex.altitudeFoot
Affine.Simplex.incenter	NormedAddCommGroup
Affine.Simplex.incenter	InnerProductSpace
Affine.Simplex.incenter	Real
Affine.Simplex.incenter	MetricSpace
Affine.Simplex.incenter	NormedAddTorsor
Affine.Simplex.incenter	Nat
Affine.Simplex.incenter	NeZero
Affine.Simplex.incenter	Affine.Simplex
Affine.Simplex.incenter	Real.normedField
Affine.Simplex.incenter	Affine.Simplex.exsphere
Affine.Simplex.inradius	NormedAddCommGroup
Affine.Simplex.inradius	InnerProductSpace
Affine.Simplex.inradius	Real
Affine.Simplex.inradius	MetricSpace
Affine.Simplex.inradius	NormedAddTorsor
Affine.Simplex.inradius	Nat
Affine.Simplex.inradius	NeZero
Affine.Simplex.inradius	Affine.Simplex
Affine.Simplex.inradius	Real.normedField
Affine.Simplex.inradius	EuclideanGeometry.Sphere.radius
Affine.Simplex.inradius	Affine.Simplex.exsphere
Affine.Simplex.insphere	NormedAddCommGroup
Affine.Simplex.insphere	InnerProductSpace
Affine.Simplex.insphere	Real
Affine.Simplex.insphere	MetricSpace
Affine.Simplex.insphere	NormedAddTorsor
Affine.Simplex.insphere	Nat
Affine.Simplex.insphere	NeZero
Affine.Simplex.insphere	Affine.Simplex
Affine.Simplex.insphere	Real.normedField
Affine.Simplex.insphere	EuclideanGeometry.Sphere
Affine.Simplex.insphere	Affine.Simplex.exsphere
Affine.Triangle	Ring
Affine.Triangle	AddCommGroup
Affine.Triangle	Module
Affine.Triangle	AddTorsor
Affine.Triangle	Affine.Simplex
Affine.Triangle	Nat
Affine.Triangle.orthocenter	NormedAddCommGroup
Affine.Triangle.orthocenter	InnerProductSpace
Affine.Triangle.orthocenter	Real
Affine.Triangle.orthocenter	MetricSpace
Affine.Triangle.orthocenter	NormedAddTorsor
Affine.Triangle.orthocenter	Affine.Triangle
Affine.Triangle.orthocenter	Real.normedField
Affine.Triangle.orthocenter	Nat
Affine.Triangle.orthocenter_mem_altitude	NormedAddCommGroup
Affine.Triangle.orthocenter_mem_altitude	InnerProductSpace
Affine.Triangle.orthocenter_mem_altitude	Real
Affine.Triangle.orthocenter_mem_altitude	MetricSpace
Affine.Triangle.orthocenter_mem_altitude	NormedAddTorsor
Affine.Triangle.orthocenter_mem_altitude	Affine.Triangle
Affine.Triangle.orthocenter_mem_altitude	Real.normedField
Affine.Triangle.orthocenter_mem_altitude	Nat
Affine.Triangle.orthocenter_mem_altitude	AffineSubspace
