# P14534 auto-push subset — pure source-verified rows only (no catalog tiebreaks). Consumed by bot/push_property.py; net-new is diffed live against Wikidata before submit. Source permalinks @ 944dc915566d.
Q187235	P14534	"riemannZeta"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/NumberTheory/LSeries/RiemannZeta.lean#L120"	S813	+2026-07-02T00:00:00Z/11
Q190391	P14534	"ProbabilityTheory.tendstoInDistribution_inv_sqrt_mul_sum_sub"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Probability/CentralLimitTheorem.lean#L123"	S813	+2026-07-02T00:00:00Z/11
Q191780	P14534	"Ordinal"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/SetTheory/Ordinal/Basic.lean#L104"	S813	+2026-07-02T00:00:00Z/11
Q193286	P14534	"exists_deriv_eq_zero"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Analysis/Calculus/LocalExtr/Rolle.lean#L58"	S813	+2026-07-02T00:00:00Z/11
Q193878	P14534	"Ideal.quotientInfRingEquivPiQuotient"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/RingTheory/Ideal/Quotient/Operations.lean#L245"	S813	+2026-07-02T00:00:00Z/11
Q203484	P14534	"InnerProductSpace.laplacianWithin"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Analysis/InnerProductSpace/Laplacian.lean#L131"	S813	+2026-07-02T00:00:00Z/11
Q205966	P14534	"RiemannHypothesis"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/NumberTheory/LSeries/RiemannZeta.lean#L184"	S813	+2026-07-02T00:00:00Z/11
Q209675	P14534	"Distribution.delta"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Analysis/Distribution/Distribution.lean#L195"	S813	+2026-07-02T00:00:00Z/11
Q213363	P14534	"IsOpen"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Topology/Defs/Basic.lean#L94"	S813	+2026-07-02T00:00:00Z/11
Q214159	P14534	"InnerProductSpace"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Analysis/InnerProductSpace/Defs.lean#L106"	S813	+2026-07-02T00:00:00Z/11
Q220680	P14534	"ContractingWith.exists_fixedPoint"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Topology/MetricSpace/Contracting.lean#L94"	S813	+2026-07-02T00:00:00Z/11
Q237193	P14534	"ProbabilityTheory.expMeasure"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Probability/Distributions/Exponential.lean#L94"	S813	+2026-07-02T00:00:00Z/11
Q245098	P14534	"intermediate_value_Icc"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Topology/Order/IntermediateValue.lean#L552"	S813	+2026-07-02T00:00:00Z/11
Q245462	P14534	"IsCyclic"	S854	"https://github.com/leanprover-community/mathlib4/blob/944dc915566d52b1c75b046444f708d6eabc0b42/Mathlib/Algebra/Group/Defs.lean#L1054"	S813	+2026-07-02T00:00:00Z/11
